ip,anonymityLevel,asn,country,,latency,org,port,protocols,responseTime,speed,updated_at
92.60.238.12,transparent,AS44252,RS,,180,Exenet,80,http,N/A,5001,2022-03-19T19:14:02.131Z
206.62.64.34,transparent,AS262865,BR,,202,Ired Servicos de Comunicacao Multimidia Eireli,8080,http,N/A,431,2022-03-19T19:13:45.702Z
41.84.143.230,transparent,AS30844,KE,,N/A,N/A,8081,http,N/A,5001,2022-03-19T19:13:42.933Z
105.112.142.210,transparent,AS36873,NG,,250,ENTERPRISE,8080,http,N/A,497,2022-03-19T19:13:25.817Z
206.62.162.125,transparent,AS61461,VE,,N/A,Airtek Solutions C.A,999,http,N/A,5002,2022-03-19T19:13:18.447Z
182.253.189.244,transparent,AS17451,ID,,207,N/A,8080,http,N/A,423,2022-03-19T19:12:58.942Z
103.73.75.69,transparent,AS135468,ID,,209,N/A,8080,http,N/A,3203,2022-03-19T19:12:53.516Z
206.161.97.64,transparent,AS3491,US,,N/A,"PCCW Global, Inc.",31337,http,N/A,144,2022-03-19T19:12:45.275Z
190.171.168.90,transparent,AS16629,CL,,200,CTC. CORP S.A. (TELEFONICA EMPRESAS),999,http,N/A,362,2022-03-19T19:12:25.216Z
190.8.38.83,transparent,AS46198,DO,,127,"Trilogy Dominicana, S.A",999,http,N/A,261,2022-03-19T19:12:22.523Z
103.7.27.186,transparent,AS38566,KH,,201,NTT,8080,http,N/A,1788,2022-03-19T19:12:15.040Z
212.73.73.234,transparent,AS12297,AM,,242,Armenia Telephone Company,8081,http,N/A,451,2022-03-19T19:12:08.223Z
206.161.97.118,transparent,AS3491,US,,N/A,"PCCW Global, Inc.",31337,http,N/A,145,2022-03-19T19:12:05.413Z
203.112.223.126,transparent,AS17494,BD,,240,Bangladesh Telegraph & Telephone Board,8080,http,N/A,5006,2022-03-19T19:11:53.129Z
212.98.159.195,transparent,AS39010,LB,,204,N/A,8080,http,N/A,635,2022-03-19T19:11:38.534Z
161.189.32.94,transparent,AS135629,CN,,N/A,AWS EC2 (cn-northwest-1),3128,http,N/A,5002,2022-03-19T19:11:33.141Z
154.236.162.41,transparent,AS36992,EG,,N/A,Nile Online,1981,http,N/A,5001,2022-03-19T19:11:17.683Z
62.75.229.77,elite,AS8972,FR,,161,Host Europe GmbH,5566,http,N/A,325,2022-03-19T19:11:15.121Z
85.26.146.169,elite,AS25159,RU,,193,MegaFon-Moscow,80,http,N/A,752,2022-03-19T19:11:12.519Z
190.214.52.226,elite,AS28006,EC,,157,Corporacion Nacional De Telecomunicaciones - CNT EP,53281,http,N/A,5002,2022-03-19T19:11:10.697Z
62.75.229.155,elite,AS8972,FR,,155,Host Europe GmbH,5566,http,N/A,314,2022-03-19T19:11:03.414Z
156.200.110.116,transparent,AS8452,EG,,N/A,N/A,1981,http,N/A,501,2022-03-19T19:11:00.561Z
51.81.80.44,elite,AS16276,US,,64,OVH US LLC,80,http,N/A,5000,2022-03-19T19:10:58.215Z
43.129.174.230,elite,AS132203,HK,,154,Tencent Cloud Computing,9999,http,N/A,775,2022-03-19T19:10:44.972Z
